萬	万
陽	阳
陰	阴
陣	阵
階	阶
際	际
障	障
隨	随
險	险
隱	隐
隸	隶
難	难
雲	云
電	电
靈	灵
靜	静
靜	静
項	项
順	顺
須	须
頌	颂
預	预
頑	顽
頓	顿
頗	颇
領	领
頻	频
題	题
顏	颜
願	愿
顧	顾
風	风
颱	台
颳	刮
飛	飞
養	养
餘	余
餃	饺
餅	饼
餉	饷
養	养
餘	余
饅	馒
饋	馈
馬	马
馴	驯
駝	驼
駛	驶
駕	驾
騎	骑
騙	骗
騷	骚
騰	腾
驚	惊
體	体
髮	发
鬥	斗
魚	鱼
魯	鲁
鮮	鲜
鯨	鲸
鳥	鸟
鴨	鸭
鴿	鸽
鴻	鸿
鵝	鹅
鶴	鹤
鷗	鸥
鷹	鹰
鹽	盐
黃	黄
黑	黑
齊	齐
齒	齿
龍	龙
龜	龟
（	(
）	)
［	[
］	]
｛	{
｝	}
「	"
」	"
『	'
』	'
一	一
丁	丁
三	三
上	上
下	下
不	不
且	且
世	世
丘	丘
丙	丙
並	并
中	中
串	串
主	主
乃	乃
久	久
之	之
乍	乍
乎	乎
乏	乏
乖	乖
乘	乘
乾	干
亂	乱
予	予
事	事
于	于
井	井
亦	亦
享	享
亮	亮
人	人
仙	仙
代	代
令	令
以	以
件	件
任	任
份	份
企	企
伊	伊
伍	伍
伎	伎
伏	伏
伐	伐
休	休
伯	伯
估	估
伴	伴
伸	伸
伺	伺
似	似
但	但
佈	布
位	位
低	低
住	住
佔	占
何	何
余	余
佛	佛
作	作
你	你
使	使
來	来
例	例
供	供
依	依
侮	侮
侵	侵
便	便
係	系
促	促
俊	俊
俗	俗
保	保
信	信
修	修
俱	俱
倘	倘
個	个
倍	倍
候	候
倚	倚
借	借
值	值
倫	伦
假	假
偉	伟
偏	偏
做	做
停	停
健	健
側	侧
偵	侦
偶	偶
偷	偷
傑	杰
備	备
傢	家
催	催
傲	傲
傳	传
傷	伤
債	债
傾	倾
僅	仅
僱	雇
像	像
僕	仆
僚	僚
億	亿
儀	仪
價	价
僻	僻
儒	儒
優	优
儲	储
兒	儿
允	允
充	充
兄	兄
光	光
克	克
兌	兑
兔	兔
入	入
全	全
八	八
公	公
六	六
共	共
其	其
具	具
典	典
兼	兼
冊	册
再	再
冰	冰
冲	冲
決	决
況	况
凌	凌
凍	冻
淨	净
減	减
湊	凑
準	准
劃	划
劊	刽
劇	剧
劉	刘
力	力
功	功
加	加
助	助
努	努
劫	劫
勁	劲
勇	勇
勉	勉
勒	勒
動	动
勞	劳
勢	势
勛	勋
勵	励
勸	劝
勾	勾
包	包
化	化
匹	匹
北	北
匠	匠
匪	匪
匯	汇
區	区
十	十
千	千
升	升
午	午
半	半
卒	卒
協	协
南	南
博	博
卜	卜
占	占
卡	卡
印	印
危	危
即	即
卵	卵
卷	卷
卸	卸
卻	却
廠	厂
壓	压
厭	厌
厲	厉
去	去
參	参
又	又
及	及
友	友
反	反
取	取
受	受
口	口
古	古
句	句
另	另
只	只
叫	叫
召	召
可	可
台	台
史	史
右	右
司	司
各	各
合	合
吉	吉
同	同
名	名
向	向
君	君
否	否
吧	吧
含	含
听	听
吸	吸
吹	吹
吻	吻
告	告
周	周
味	味
呼	呼
命	命
和	和
咖	咖
品	品
哇	哇
哈	哈
哉	哉
員	员
哥	哥
哦	哦
哩	哩
哭	哭
哲	哲
哺	哺
唇	唇
售	售
唯	唯
唱	唱
商	商
啊	啊
問	问
啟	启
喝	喝
善	善
喉	喉
喊	喊
喔	喔
喜	喜
單	单
喬	乔
喪	丧
喲	哟
嗅	嗅
嗎	吗
噁	恶
嗆	呛
嗇	啬
嗊	唝
嗚	呜
嗅	嗅
嗎	吗
噁	恶
嗆	呛
嗓	嗓
嘗	尝
嘴	嘴
器	器
噩	噩
噪	噪
噠	哒
噹	当
嚇	吓
嚐	尝
嚟	嚟
嚴	严
囉	啰
囊	囊
四	四
回	回
因	因
困	困
固	固
圈	圈
國	国
圍	围
圖	图
團	团
土	土
在	在
地	地
均	均
坎	坎
坐	坐
坑	坑
址	址
坡	坡
坦	坦
垂	垂
型	型
城	城
執	执
基	基
堅	坚
堂	堂
堆	堆
堡	堡
堤	堤
堪	堪
壟	垄
報	报
場	场
堵	堵
塊	块
塌	塌
塑	塑
塔	塔
塗	涂
塞	塞
填	填
塵	尘
境	境
墊	垫
墳	坟
壁	壁
墾	垦
壞	坏
壟	垄
壢	坜
士	士
壯	壮
壽	寿
夏	夏
外	外
多	多
夜	夜
夢	梦
大	大
天	天
太	太
夫	夫
央	央
失	失
奇	奇
奏	奏
奮	奋
女	女
她	她
好	好
如	如
妙	妙
妨	妨
妞	妞
妥	妥
妨	妨
妹	妹
妻	妻
姆	姆
始	始
姐	姐
姑	姑
姓	姓
委	委
姚	姚
姜	姜
姿	姿
威	威
娃	娃
娘	娘
娛	娱
娶	娶
婉	婉
婦	妇
媒	媒
媽	妈
媳	媳
嫌	嫌
嫩	嫩
嬌	娇
子	子
孔	孔
孕	孕
字	字
存	存
孝	孝
季	季
孤	孤
孩	孩
學	学
寧	宁
宅	宅
守	守
安	安
完	完
宗	宗
官	官
宙	宙
定	定
宜	宜
客	客
室	室
宮	宫
宰	宰
害	害
家	家
容	容
寬	宽
宿	宿
寂	寂
寄	寄
密	密
富	富
寒	寒
寓	寓
實	实
寧	宁
審	审
寫	写
寬	宽
寶	宝
寸	寸
寺	寺
封	封
將	将
專	专
尉	尉
尊	尊
尋	寻
對	对
小	小
少	少
尖	尖
尚	尚
就	就
尺	尺
尼	尼
尾	尾
尿	尿
局	局
屁	屁
居	居
屆	届
屋	屋
屍	尸
展	展
層	层
屬	属
山	山
屹	屹
岩	岩
岸	岸
島	岛
崇	崇
崙	仑
崖	崖
崗	岗
崩	崩
嶼	屿
嶺	岭
嶽	岳
巒	峦
川	川
州	州
巡	巡
巢	巢
工	工
左	左
巧	巧
巨	巨
差	差
己	己
已	已
巴	巴
巷	巷
巾	巾
市	市
布	布
帆	帆
希	希
帕	帕
帖	帖
帝	帝
帥	帅
師	师
席	席
帳	帐
帶	带
常	常
幅	幅
帽	帽
幫	帮
年	年
並	并
幹	干
幻	幻
幼	幼
幾	几
序	序
店	店
府	府
度	度
座	座
庫	库
庭	庭
康	康
廁	厕
廢	废
廣	广
廳	厅
延	延
建	建
異	异
式	式
弟	弟
弦	弦
弱	弱
張	张
強	强
彈	弹
彈	弹
彎	弯
錄	录
形	形
彩	彩
影	影
役	役
彼	彼
往	往
待	待
律	律
後	后
徒	徒
得	得
從	从
微	微
德	德
徵	征
徹	彻
心	心
必	必
忍	忍
志	志
忘	忘
忙	忙
忠	忠
快	快
念	念
忽	忽
怎	怎
怒	怒
思	思
急	急
怨	怨
怪	怪
恐	恐
恢	恢
恩	恩
恭	恭
息	息
悔	悔
悟	悟
悠	悠
患	患
您	您
情	情
惡	恶
悲	悲
悶	闷
惠	惠
惱	恼
想	想
意	意
愛	爱
感	感
慈	慈
態	态
慮	虑
慰	慰
慶	庆
慮	虑
憂	忧
憑	凭
憲	宪
憶	忆
懷	怀
懸	悬
懼	惧
戀	恋
成	成
我	我
或	或
戰	战
截	截
戶	户
房	房
所	所
扁	扁
扇	扇
手	手
才	才
打	打
托	托
扣	扣
扭	扭
把	把
抓	抓
投	投
抖	抖
抗	抗
折	折
披	披
抬	抬
抱	抱
抵	抵
抹	抹
押	押
抽	抽
拆	拆
拉	拉
拌	拌
拍	拍
拐	拐
拒	拒
拓	拓
拔	拔
拖	拖
招	招
拜	拜
括	括
持	持
指	指
按	按
挑	挑
挖	挖
挪	挪
振	振
捉	捉
揮	挥
援	援
搖	摇
搜	搜
搞	搞
搬	搬
搭	搭
搶	抢
損	损
搖	摇
摸	摸
摘	摘
摧	摧
摩	摩
摟	搂
摳	抠
撞	撞
撈	捞
撐	撑
撐	撑
播	播
撲	扑
撚	捻
撐	撑
擁	拥
擇	择
擊	击
擋	挡
操	操
擔	担
據	据
擠	挤
擦	擦
擬	拟
擰	拧
擴	扩
擺	摆
攀	攀
攝	摄
攏	拢
攔	拦
支	支
收	收
改	改
放	放
政	政
故	故
效	效
救	救
教	教
敏	敏
敗	败
數	数
整	整
敵	敌
文	文
料	料
斟	斟
斷	断
新	新
方	方
於	于
施	施
旁	旁
旅	旅
旗	旗
既	既
日	日
早	早
時	时
晃	晃
晨	晨
晚	晚
普	普
景	景
智	智
暖	暖
暗	暗
暫	暂
暮	暮
暴	暴
曆	历
曲	曲
更	更
書	书
會	会
月	月
有	有
朋	朋
服	服
朗	朗
望	望
朝	朝
期	期
朦	朦
木	木
未	未
末	末
本	本
朵	朵
李	李
村	村
束	束
條	条
來	来
杯	杯
板	板
果	果
枝	枝
枯	枯
架	架
某	某
染	染
柔	柔
柯	柯
查	查
柴	柴
核	核
根	根
格	格
桃	桃
框	框
桌	桌
梅	梅
條	条
梨	梨
植	植
森	森
椅	椅
概	概
楊	杨
業	业
極	极
榮	荣
構	构
槍	枪
樂	乐
模	模
樣	样
樁	桩
標	标
樓	楼
樹	树
橋	桥
機	机
橫	横
檔	档
橋	桥
檢	检
歸	归
殺	杀
殼	壳
毀	毁
毅	毅
母	母
每	每
毒	毒
比	比
毛	毛
毫	毫
民	民
氣	气
水	水
永	永
求	求
汗	汗
江	江
池	池
污	污
沉	沉
沒	没
沖	冲
沙	沙
河	河
油	油
治	治
沼	沼
沿	沿
況	况
泉	泉
法	法
波	波
泥	泥
注	注
泰	泰
泳	泳
洗	洗
洞	洞
活	活
派	派
流	流
浪	浪
浮	浮
海	海
消	消
涉	涉
液	液
淋	淋
深	深
混	混
清	清
減	减
渡	渡
測	测
港	港
游	游
湖	湖
源	源
準	准
溝	沟
溫	温
溪	溪
滅	灭
漂	漂
漆	漆
漏	漏
漸	渐
漲	涨
漿	浆
潛	潜
潔	洁
潤	润
潮	潮
澤	泽
激	激
濃	浓
濕	湿
濟	济
灣	湾
火	火
災	灾
炎	炎
炮	炮
炸	炸
為	为
烈	烈
烏	乌
烹	烹
無	无
焦	焦
然	然
焰	焰
照	照
煩	烦
熊	熊
熟	熟
熱	热
燃	燃
燈	灯
燒	烧
營	营
爆	爆
父	父
爺	爷
片	片
版	版
牌	牌
牙	牙
牛	牛
物	物
特	特
犧	牺
犯	犯
狀	状
狂	狂
狗	狗
狠	狠
猛	猛
猴	猴
猶	犹
獄	狱
獲	获
獨	独
獸	兽
獻	献
率	率
王	王
玩	玩
環	环
現	现
球	球
理	理
琴	琴
琪	琪
琳	琳
瑣	琐
瑤	瑶
璃	璃
瓜	瓜
甘	甘
甚	甚
甜	甜
生	生
產	产
用	用
甩	甩
甫	甫
田	田
由	由
申	申
男	男
界	界
畏	畏
留	留
番	番
畫	画
異	异
當	当
疆	疆
疏	疏
疑	疑
疲	疲
疾	疾
病	病
症	症
痛	痛
瘋	疯
療	疗
癒	愈
登	登
白	白
百	百
皇	皇
皮	皮
盈	盈
益	益
盛	盛
監	监
盤	盘
目	目
盲	盲
直	直
相	相
盼	盼
眉	眉
看	看
真	真
眠	眠
瞄	瞄
睡	睡
督	督
睜	睁
瞪	瞪
瞭	了
瞧	瞧
瞬	瞬
瞻	瞻
示	示
禮	礼
神	神
票	票
祭	祭
禁	禁
福	福
禪	禅
種	种
稱	称
積	积
穩	稳
究	究
空	空
突	突
窗	窗
立	立
站	站
竟	竟
童	童
端	端
竹	竹
笑	笑
笨	笨
符	符
第	第
等	等
答	答
策	策
算	算
管	管
範	范
節	节
簡	简
篇	篇
籍	籍
米	米
粉	粉
粗	粗
精	精
糊	糊
糟	糟
系	系
紀	纪
約	约
紅	红
紋	纹
純	纯
納	纳
級	级
紛	纷
素	素
紡	纺
組	组
細	细
紹	绍
終	终
累	累
統	统
絲	丝
維	维
綱	纲
綢	绸
網	网
綜	综
緊	紧
線	线
締	缔
編	编
緣	缘
緩	缓
總	总
縱	纵
繁	繁
織	织
繞	绕
繪	绘
繼	继
續	续
纖	纤
缺	缺
罪	罪
罰	罚
署	署
義	义
習	习
翻	翻
翼	翼
老	老
考	考
者	者
而	而
耕	耕
耳	耳
耶	耶
耽	耽
聖	圣
聘	聘
聚	聚
聞	闻
聯	联
聰	聪
聽	听
肉	肉
肌	肌
肖	肖
肚	肚
肝	肝
股	股
肥	肥
肩	肩
肯	肯
育	育
肺	肺
胃	胃
背	背
胞	胞
胡	胡
胸	胸
能	能
脂	脂
脅	胁
脆	脆
脈	脉
脖	脖
腎	肾
腐	腐
腦	脑
腰	腰
腫	肿
腿	腿
膽	胆
臂	臂
臣	臣
臥	卧
臨	临
自	自
至	至
臺	台
色	色
花	花
芳	芳
英	英
苑	苑
苗	苗
苦	苦
茂	茂
范	范
茅	茅
草	草
荒	荒
荷	荷
華	华
萬	万
落	落
葉	叶
著	著
蒂	蒂
蒙	蒙
蒼	苍
蓬	蓬
蓮	莲
蔬	蔬
蕭	萧
薄	薄
薩	萨
藏	藏
藝	艺
藥	药
蘇	苏
虎	虎
虛	虚
處	处
號	号
虧	亏
融	融
行	行
術	术
衝	冲
衛	卫
衡	衡
衣	衣
表	表
袋	袋
袖	袖
袍	袍
被	被
補	补
裝	装
裡	里
製	制
複	复
褲	裤
西	西
要	要
覆	覆
見	见
規	规
視	视
覓	觅
覺	觉
觀	观
角	角
解	解
觸	触
言	言
託	托
許	许
設	设
訴	诉
詞	词
試	试
該	该
詳	详
誇	夸
認	认
誌	志
語	语
誤	误
誘	诱
說	说
請	请
論	论
諸	诸
課	课
調	调
談	谈
謀	谋
諾	诺
謀	谋
講	讲
謝	谢
證	证
識	识
警	警
譯	译
議	议
護	护
譽	誉
讀	读
變	变
讓	让
谷	谷
豆	豆
豐	丰
象	象
豬	猪
貓	猫
貝	贝
負	负
財	财
責	责
貨	货
費	费
資	资
賈	贾
賓	宾
賞	赏
賢	贤
賣	卖
質	质
賽	赛
贈	赠
賬	账
賭	赌
賴	赖
購	购
賺	赚
賽	赛
赤	赤
走	走
起	起
超	超
越	越
趕	赶
趙	赵
趣	趣
趨	趋
足	足
跌	跌
跑	跑
距	距
跨	跨
跳	跳
踢	踢
踩	踩
蹤	踪
躍	跃
身	身
躲	躲
躺	躺
車	车
軌	轨
軍	军
載	载
輕	轻
輔	辅
輝	辉
輸	输
轉	转
辦	办
農	农
迎	迎
返	返
近	近
述	述
迪	迪
迫	迫
逃	逃
追	追
退	退
送	送
適	适
遭	遭
遮	遮
鄰	邻
鄭	郑
鄧	邓
郵	邮
鄉	乡
都	都
配	配
酒	酒
醫	医
釋	释
里	里
重	重
金	金
針	针
釣	钓
鐘	钟
鐵	铁
鑑	鉴
長	长
門	门
閉	闭
開	开
閒	闲
間	间
關	关
隊	队
階	阶
隨	随
險	险
隱	隐
隻	只
難	难
雨	雨
雪	雪
雲	云
零	零
雷	雷
電	电
霧	雾
靈	灵
靜	静
面	面
項	项
順	顺
須	须
預	预
頑	顽
頓	顿
領	领
頻	频
題	题
顏	颜
願	愿
顧	顾
風	风
飛	飞
食	食
飯	饭
飲	饮
飽	饱
養	养
餘	余
館	馆
馬	马
駛	驶
駕	驾
騎	骑
騙	骗
騰	腾
驚	惊
骨	骨
體	体
高	高
髮	发
鬆	松
鬥	斗
魚	鱼
魯	鲁
鮮	鲜
鳥	鸟
鴨	鸭
鴿	鸽
鴻	鸿
鵝	鹅
鶴	鹤
鷗	鸥
鷹	鹰
鹼	碱
鹽	盐
麗	丽
黃	黄
黑	黑
齊	齐
齒	齿
龍	龙
龜	龟
